                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3966,                 3.8275,                 1.1261,                0.38362,                 0.1212,                0.14373,                0.09607,                 1.1367,                 3.3748,                 1.0737,             0.00015757,             0.00015757,             0.00015757
                      2,                 1.2676,                 2.3091,                 1.0758,                0.52216,                 0.2304,                0.26407,                0.18346,                 1.1353,                 2.7183,                 1.0706,             0.00030059,             0.00030059,             0.00030059
                      3,                 1.2103,                 1.8695,                 1.0671,                0.72229,                0.20776,                0.30755,                  0.202,                 1.1734,                 2.5462,                 1.0617,             0.00042789,             0.00042789,             0.00042789
                      4,                 1.1739,                 1.6405,                 1.0536,                  0.638,                0.28781,                0.32413,                0.21144,                 1.2214,                  2.758,                 1.1264,             0.00040531,             0.00040531,             0.00040531
                      5,                 1.1587,                 1.4872,                 1.0591,                0.45253,                0.32375,                0.33524,                0.23478,                 1.1409,                 2.2984,                 1.0838,             0.00038175,             0.00038175,             0.00038175
                      6,                 1.1115,                 1.3198,                 1.0292,                0.48413,                 0.2883,                0.36959,                0.24971,                 1.1489,                 2.2361,                 1.0796,             0.00035819,             0.00035819,             0.00035819
                      7,                  1.098,                 1.2218,                 1.0251,                0.47445,                0.35662,                0.33017,                 0.2272,                 1.1725,                 2.2498,                 1.0961,             0.00033463,             0.00033463,             0.00033463
                      8,                 1.0663,                 1.1434,                 1.0148,                0.62913,                0.25151,                0.38099,                0.26226,                 1.1569,                 2.2717,                 1.0919,             0.00031107,             0.00031107,             0.00031107
                      9,                 1.0423,                 1.0599,                 1.0025,                0.50325,                0.38393,                0.38979,                0.26292,                 1.1954,                 2.0786,                 1.1196,              0.0002875,              0.0002875,              0.0002875
                     10,                 1.0379,                 1.0063,                0.99986,                0.59575,                0.35086,                0.41974,                0.26842,                 1.2194,                 2.1865,                 1.1209,             0.00026394,             0.00026394,             0.00026394
                     11,                0.99492,                 1.0772,                0.97335,                0.48889,                0.37401,                0.35859,                0.24778,                  1.211,                 2.1149,                  1.148,             0.00024038,             0.00024038,             0.00024038
                     12,                0.99209,                 0.9992,                0.97563,                 0.5383,                0.37809,                0.39162,                 0.2701,                  1.135,                 2.0848,                 1.1142,             0.00021682,             0.00021682,             0.00021682
                     13,                0.96802,                0.91894,                0.96966,                0.51515,                0.39377,                0.36754,                 0.2573,                 1.1756,                 2.0381,                 1.1282,             0.00019326,             0.00019326,             0.00019326
                     14,                0.95695,                0.86908,                0.96556,                0.55502,                0.35936,                0.37453,                0.27096,                 1.0806,                 2.0361,                 1.0841,             0.00016969,             0.00016969,             0.00016969
                     15,                0.93535,                0.83322,                0.95133,                0.60366,                0.34553,                0.37661,                0.27121,                 1.0964,                 1.9726,                 1.0924,             0.00014613,             0.00014613,             0.00014613
                     16,                 0.9264,                0.80077,                0.95073,                0.56957,                0.39452,                0.40488,                0.28625,                 1.1001,                  1.929,                 1.0822,             0.00012257,             0.00012257,             0.00012257
                     17,                0.91456,                0.77097,                 0.9411,                0.60861,                0.34332,                0.37385,                0.27127,                 1.0893,                 1.9516,                 1.0876,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     18,                0.89534,                0.73964,                0.92919,                0.61767,                0.37204,                0.39042,                0.27294,                 1.1229,                 1.9747,                 1.0985,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     19,                0.88354,                0.72214,                0.92709,                0.59996,                0.36272,                0.40935,                0.30105,                 1.0683,                 1.8788,                 1.0679,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     20,                0.86907,                0.69977,                0.92016,                0.65034,                0.33772,                0.40505,                0.29269,                 1.0762,                 1.9044,                 1.0715,             2.8322e-05,             2.8322e-05,             2.8322e-05
